request_id,timestamp,region,deployment_id,status_code,latency_ms
after-east-25,2026-01-15T15:55:10Z,east,deploy-a,200,100
after-east-26,2026-01-15T15:56:10Z,east,deploy-a,200,120
after-east-27,2026-01-15T15:57:10Z,east,deploy-a,200,140
after-east-28,2026-01-15T15:58:10Z,east,deploy-a,200,160
after-east-29,2026-01-15T15:59:10Z,east,deploy-a,200,180
after-west-00,2026-01-15T15:30:10Z,west,deploy-b,503,200
after-west-01,2026-01-15T15:31:10Z,west,deploy-b,503,300
after-west-02,2026-01-15T15:32:10Z,west,deploy-b,503,400
after-west-03,2026-01-15T15:33:10Z,west,deploy-b,503,800
after-west-04,2026-01-15T15:34:10Z,west,deploy-b,503,1200
after-west-05,2026-01-15T15:35:10Z,west,deploy-b,503,200
after-west-06,2026-01-15T15:36:10Z,west,deploy-b,200,300
after-west-07,2026-01-15T15:37:10Z,west,deploy-b,200,400
after-west-08,2026-01-15T15:38:10Z,west,deploy-b,200,800
after-west-09,2026-01-15T15:39:10Z,west,deploy-b,200,1200
after-west-10,2026-01-15T15:40:10Z,west,deploy-b,200,200
after-west-11,2026-01-15T15:41:10Z,west,deploy-b,200,300
after-west-12,2026-01-15T15:42:10Z,west,deploy-b,200,400
after-west-13,2026-01-15T15:43:10Z,west,deploy-b,200,800
after-west-14,2026-01-15T15:44:10Z,west,deploy-b,200,1200
after-west-15,2026-01-15T15:45:10Z,west,deploy-b,200,200
after-west-16,2026-01-15T15:46:10Z,west,deploy-b,200,300
after-west-17,2026-01-15T15:47:10Z,west,deploy-b,200,400
after-west-18,2026-01-15T15:48:10Z,west,deploy-b,200,800
after-west-19,2026-01-15T15:49:10Z,west,deploy-b,200,1200
after-west-20,2026-01-15T15:50:10Z,west,deploy-b,200,200
after-west-21,2026-01-15T15:51:10Z,west,deploy-b,200,300
after-west-22,2026-01-15T15:52:10Z,west,deploy-b,200,400
after-west-23,2026-01-15T15:53:10Z,west,deploy-b,200,800
after-west-24,2026-01-15T15:54:10Z,west,deploy-b,200,1200
after-west-25,2026-01-15T15:55:10Z,west,deploy-b,200,200
after-west-26,2026-01-15T15:56:10Z,west,deploy-b,200,300
after-west-27,2026-01-15T15:57:10Z,west,deploy-b,200,400
after-west-28,2026-01-15T15:58:10Z,west,deploy-b,200,800
after-west-29,2026-01-15T15:59:10Z,west,deploy-b,200,1200
